,note,step,duration,channel,velocity
0,57.0,0.0,1020.0,2.0,0.0
1,41.0,512.0,510.0,3.0,0.0
2,60.0,0.0,1020.0,1.0,0.0
3,65.0,0.0,1020.0,0.0,0.0
4,43.0,512.0,510.0,3.0,0.0
5,60.0,0.0,1020.0,1.0,0.0
6,57.0,1024.0,1020.0,2.0,0.0
7,45.0,512.0,510.0,3.0,0.0
8,65.0,0.0,1020.0,0.0,0.0
9,46.0,0.0,510.0,3.0,0.0
10,48.0,0.0,1020.0,3.0,0.0
11,64.0,0.0,1020.0,0.0,0.0
12,55.0,512.0,1020.0,2.0,0.0
13,65.0,0.0,1020.0,0.0,0.0
14,60.0,0.0,15.0,1.0,0.0
15,57.0,0.0,1020.0,2.0,0.0
16,41.0,2048.0,1020.0,3.0,0.0
17,62.0,0.0,510.0,1.0,0.0
18,67.0,512.0,2040.0,0.0,0.0
19,48.0,0.0,2040.0,3.0,0.0
20,64.0,0.0,2040.0,1.0,0.0
21,60.0,0.0,2040.0,2.0,0.0
22,62.0,0.0,1020.0,1.0,0.0
23,57.0,512.0,510.0,2.0,0.0
24,50.0,512.0,1020.0,3.0,0.0
25,65.0,0.0,1020.0,0.0,0.0
26,58.0,0.0,510.0,2.0,0.0
27,60.0,0.0,1020.0,1.0,0.0
28,57.0,512.0,510.0,2.0,0.0
29,52.0,512.0,1020.0,3.0,0.0
30,67.0,0.0,1020.0,0.0,0.0
31,55.0,512.0,1020.0,2.0,0.0
32,60.0,0.0,1020.0,1.0,0.0
33,53.0,0.0,1020.0,3.0,0.0
34,69.0,512.0,1020.0,0.0,0.0
35,53.0,512.0,1020.0,2.0,0.0
36,67.0,0.0,1020.0,0.0,0.0
37,60.0,2048.0,1020.0,1.0,0.0
38,48.0,0.0,1020.0,3.0,0.0
39,52.0,0.0,510.0,2.0,0.0
40,65.0,0.0,2040.0,0.0,0.0
41,60.0,0.0,2040.0,1.0,0.0
42,57.0,512.0,2040.0,2.0,0.0
43,41.0,0.0,2040.0,3.0,0.0
44,60.0,1024.0,1020.0,2.0,0.0
45,53.0,512.0,510.0,3.0,0.0
46,69.0,0.0,1020.0,0.0,0.0
47,52.0,0.0,510.0,3.0,0.0
48,65.0,0.0,15.0,1.0,0.0
49,50.0,0.0,1020.0,3.0,0.0
50,70.0,0.0,1020.0,0.0,0.0
