tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,program,channel,pitch,note,velocity
0,set_tempo,500000,0,1,0,,,,,,,,,
0,pitchwheel,,0,0,1,,,,,,12,-320,,
0,pitchwheel,,0,0,1,,,,,,11,-160,,
0,pitchwheel,,0,0,1,,,,,,10,-480,,
0,pitchwheel,,0,0,1,,,,,,8,-320,,
0,pitchwheel,,0,0,1,,,,,,7,-155,,
0,pitchwheel,,0,0,1,,,,,,6,-480,,
0,pitchwheel,,0,0,1,,,,,,5,-80,,
0,pitchwheel,,0,0,1,,,,,,4,-400,,
0,pitchwheel,,0,0,1,,,,,,3,-240,,
0,pitchwheel,,0,0,1,,,,,,2,-316,,
0,pitchwheel,,0,0,1,,,,,,1,-400,,
0,pitchwheel,,0,0,1,,,,,,0,0,,
0,program_change,,0,0,1,,,,,6,12,,,
0,program_change,,0,0,1,,,,,6,11,,,
0,program_change,,0,0,1,,,,,6,10,,,
0,program_change,,0,0,1,,,,,6,8,,,
0,program_change,,0,0,1,,,,,6,7,,,
0,program_change,,0,0,1,,,,,6,6,,,
0,program_change,,0,0,1,,,,,6,5,,,
0,program_change,,0,0,1,,,,,6,4,,,
0,program_change,,0,0,1,,,,,6,3,,,
0,program_change,,0,0,1,,,,,6,2,,,
0,program_change,,0,0,1,,,,,6,1,,,
0,program_change,,0,0,1,,,,,6,0,,,
0,text,,0,1,1,,,,,,,,,
0,track_name,,0,1,2,,,,,,,,,
0,time_signature,,0,1,0,4,4,24,8,,,,,
0,track_name,,0,1,1,,,,,,,,,
198,note_on,,0,0,1,,,,,,2,,62,127
198,note_on,,0,0,1,,,,,,11,,58,127
198,note_on,,198,0,1,,,,,,11,,70,127
256,note_on,,58,0,1,,,,,,10,,69,127
273,note_off,,17,0,1,,,,,,11,,70,127
314,note_off,,41,0,1,,,,,,10,,69,127
314,note_on,,0,0,1,,,,,,11,,70,127
427,note_off,,113,0,1,,,,,,2,,62,127
429,note_off,,2,0,1,,,,,,11,,70,127
429,note_on,,0,0,1,,,,,,0,,72,127
429,note_on,,0,0,1,,,,,,3,,63,127
657,note_off,,228,0,1,,,,,,3,,63,127
657,note_off,,0,0,1,,,,,,0,,72,127
657,note_off,,0,0,1,,,,,,11,,58,127
659,note_on,,0,0,1,,,,,,11,,58,127
659,note_on,,2,0,1,,,,,,0,,72,127
659,note_on,,0,0,1,,,,,,3,,63,127
