tick,type,data,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,port,tempo,key,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,program,channel,control,value,note,velocity
0,sequencer_specific,"(0, 0, 91, 35, 1, 0, 5, 6, 42, 0)",0,1,0,,,,,,,,,,,,,,,,,,,
0,control_change,,0,0,9,,,,,,,,,,,,,,,4,10,59,,
0,control_change,,0,0,9,,,,,,,,,,,,,,,4,11,127,,
0,control_change,,0,0,9,,,,,,,,,,,,,,,4,7,80,,
0,note_on,,0,0,9,,,,,,,,,,,,,,,4,,,78,76
0,track_name,,0,1,10,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,10,,,,,,,0,,,,,,,,,,,,
0,program_change,,0,0,10,,,,,,,,,,,,,,68,5,,,,
0,control_change,,0,0,10,,,,,,,,,,,,,,,5,10,64,,
0,program_change,,0,0,9,,,,,,,,,,,,,,68,4,,,,
0,control_change,,0,0,10,,,,,,,,,,,,,,,5,11,127,,
0,note_on,,0,0,10,,,,,,,,,,,,,,,5,,,74,76
0,track_name,,0,1,11,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,11,,,,,,,0,,,,,,,,,,,,
0,program_change,,0,0,11,,,,,,,,,,,,,,68,6,,,,
0,control_change,,0,0,11,,,,,,,,,,,,,,,6,10,69,,
0,control_change,,0,0,11,,,,,,,,,,,,,,,6,11,127,,
0,control_change,,0,0,11,,,,,,,,,,,,,,,6,7,80,,
0,note_on,,0,0,11,,,,,,,,,,,,,,,6,,,69,76
0,control_change,,0,0,10,,,,,,,,,,,,,,,5,7,80,,
0,track_name,,0,1,12,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,9,,,,,,,0,,,,,,,,,,,,
0,note_on,,0,0,8,,,,,,,,,,,,,,,3,,,50,76
0,program_change,,0,0,6,,,,,,,,,,,,,,56,1,,,,
0,control_change,,0,0,6,,,,,,,,,,,,,,,1,10,64,,
0,control_change,,0,0,6,,,,,,,,,,,,,,,1,11,127,,
0,control_change,,0,0,6,,,,,,,,,,,,,,,1,7,96,,
0,note_on,,0,0,6,,,,,,,,,,,,,,,1,,,74,76
0,track_name,,0,1,7,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,7,,,,,,,0,,,,,,,,,,,,
0,program_change,,0,0,7,,,,,,,,,,,,,,56,2,,,,
0,track_name,,0,1,9,,,,,,,,,,,,,,,,,,,
0,control_change,,0,0,7,,,,,,,,,,,,,,,2,10,74,,
0,control_change,,0,0,7,,,,,,,,,,,,,,,2,7,96,,
0,note_on,,0,0,7,,,,,,,,,,,,,,,2,,,69,76
0,track_name,,0,1,8,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,8,,,,,,,0,,,,,,,,,,,,
0,program_change,,0,0,8,,,,,,,,,,,,,,47,3,,,,
0,control_change,,0,0,8,,,,,,,,,,,,,,,3,10,25,,
0,control_change,,0,0,8,,,,,,,,,,,,,,,3,11,127,,
0,control_change,,0,0,8,,,,,,,,,,,,,,,3,7,96,,
0,control_change,,0,0,7,,,,,,,,,,,,,,,2,11,127,,
0,midi_port,,0,1,6,,,,,,,0,,,,,,,,,,,,
0,midi_port,,0,1,12,,,,,,,0,,,,,,,,,,,,
0,control_change,,0,0,12,,,,,,,,,,,,,,,7,10,74,,
0,control_change,,0,0,15,,,,,,,,,,,,,,,12,11,127,,
0,control_change,,0,0,15,,,,,,,,,,,,,,,12,7,96,,
0,note_on,,0,0,15,,,,,,,,,,,,,,,12,,,69,76
0,track_name,,0,1,16,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,16,,,,,,,0,,,,,,,,,,,,
0,program_change,,0,0,16,,,,,,,,,,,,,,48,13,,,,
0,control_change,,0,0,16,,,,,,,,,,,,,,,13,10,90,,
0,control_change,,0,0,16,,,,,,,,,,,,,,,13,11,127,,
0,control_change,,0,0,15,,,,,,,,,,,,,,,12,10,70,,
0,control_change,,0,0,16,,,,,,,,,,,,,,,13,7,96,,
0,track_name,,0,1,17,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,17,,,,,,,0,,,,,,,,,,,,
0,control_change,,0,0,17,,,,,,,,,,,,,,,14,10,64,,
0,control_change,,0,0,17,,,,,,,,,,,,,,,14,11,127,,
0,control_change,,0,0,17,,,,,,,,,,,,,,,14,7,72,,
0,program_change,,0,0,17,,,,,,,,,,,,,,6,14,,,,
0,note_on,,0,0,17,,,,,,,,,,,,,,,14,,,62,76
0,track_name,,0,1,18,,,,,,,,,,,,,,,,,,,
0,note_on,,0,0,16,,,,,,,,,,,,,,,13,,,62,76
0,program_change,,0,0,12,,,,,,,,,,,,,,70,7,,,,
0,program_change,,0,0,15,,,,,,,,,,,,,,48,12,,,,
0,track_name,,0,1,15,,,,,,,,,,,,,,,,,,,
0,control_change,,0,0,12,,,,,,,,,,,,,,,7,11,127,,
0,control_change,,0,0,12,,,,,,,,,,,,,,,7,7,88,,
0,note_on,,0,0,12,,,,,,,,,,,,,,,7,,,62,76
0,midi_port,,0,1,18,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,13,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,13,,,,,,,0,,,,,,,,,,,,
0,program_change,,0,0,13,,,,,,,,,,,,,,48,10,,,,
0,control_change,,0,0,13,,,,,,,,,,,,,,,10,10,48,,
0,midi_port,,0,1,15,,,,,,,0,,,,,,,,,,,,
0,control_change,,0,0,13,,,,,,,,,,,,,,,10,11,127,,
0,note_on,,0,0,13,,,,,,,,,,,,,,,10,,,78,76
0,track_name,,0,1,14,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,14,,,,,,,0,,,,,,,,,,,,
0,program_change,,0,0,14,,,,,,,,,,,,,,48,11,,,,
0,control_change,,0,0,14,,,,,,,,,,,,,,,11,10,24,,
0,control_change,,0,0,14,,,,,,,,,,,,,,,11,11,127,,
0,control_change,,0,0,14,,,,,,,,,,,,,,,11,7,96,,
0,note_on,,0,0,14,,,,,,,,,,,,,,,11,,,74,76
0,control_change,,0,0,13,,,,,,,,,,,,,,,10,7,96,,
0,track_name,,0,1,6,,,,,,,,,,,,,,,,,,,
0,end_of_track,,0,1,18,,,,,,,,,,,,,,,,,,,
0,end_of_track,,0,1,4,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,1,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,1,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,4,,,,,,,0,,,,,,,,,,,,
0,track_name,,0,1,5,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,5,,,,,,,0,,,,,,,,,,,,
0,program_change,,0,0,5,,,,,,,,,,,,,,56,0,,,,
0,control_change,,0,0,5,,,,,,,,,,,,,,,0,10,54,,
0,control_change,,0,0,5,,,,,,,,,,,,,,,0,11,127,,
0,control_change,,0,0,5,,,,,,,,,,,,,,,0,7,96,,
0,note_on,,0,0,5,,,,,,,,,,,,,,,0,,,78,76
0,end_of_track,,0,1,1,,,,,,,,,,,,,,,,,,,
0,time_signature,,0,1,0,,,,,,,,,,3,8,12,8,,,,,,
0,key_signature,,0,1,0,,,,,,,,,D,,,,,,,,,,
0,track_name,,0,1,2,,,,,,,,,,,,,,,,,,,
0,midi_port,,0,1,0,,,,,,,0,,,,,,,,,,,,
0,end_of_track,,0,1,3,,,,,,,,,,,,,,,,,,,
